Time_stamp,Ax,Ay,Az,Gx,Gy,Gz,Label
22:19:20.863,0.768066,-0.066162,0.583008,9.451220,4.573171,0.884146,2
22:19:20.901,0.786865,-0.081543,0.572998,13.597561,4.542683,5.213415,2
22:19:20.908,0.763428,-0.061523,0.640625,5.000000,2.378049,2.743902,2
22:19:20.962,0.761475,-0.085205,0.573975,9.298780,0.030488,-0.731707,2
22:19:20.996,0.778809,-0.054443,0.586182,4.207317,1.250000,-1.250000,2
22:19:21.006,0.791504,-0.055664,0.624268,-8.628049,1.829268,-2.256098,2
22:19:21.063,0.780518,-0.108154,0.613037,-2.073171,1.554878,-3.170732,2
22:19:21.071,0.772461,-0.076904,0.623291,-0.945122,1.737805,-1.676829,2
22:19:21.129,0.771729,-0.091797,0.628662,2.317073,2.530488,-0.091463,2
22:19:21.159,0.779785,-0.092773,0.626465,0.945122,2.713415,-0.121951,2
22:19:21.192,0.771484,-0.079346,0.626465,-0.914634,1.524390,-1.219512,2
22:19:21.224,0.766357,-0.079590,0.610352,1.006098,0.853659,-1.463415,2
22:19:21.264,0.772461,-0.078125,0.612549,0.030488,1.067073,-0.853659,2
22:19:21.272,0.787354,-0.078857,0.613281,-0.030488,1.310976,-0.609756,2
22:19:21.328,0.785156,-0.083008,0.609375,-1.432927,1.158537,-1.006098,2
22:19:21.356,0.775391,-0.073242,0.608154,0.243902,0.670732,-1.280488,2
22:19:21.368,0.773682,-0.074707,0.604736,1.189024,0.518293,-1.463415,2
22:19:22.976,0.775391,-0.079346,0.626465,-0.091463,1.524390,-2.225610,2
22:19:22.999,0.777100,-0.073730,0.623047,-0.243902,1.128049,-2.835366,2
22:19:23.034,0.781982,-0.075928,0.617676,-0.091463,1.006098,-2.865854,2
22:19:23.070,0.786377,-0.080078,0.616455,0.731707,1.432927,-1.951220,2
22:19:23.105,0.791992,-0.081787,0.614502,-1.829268,1.859756,-1.463415,2
22:19:23.137,0.795898,-0.086914,0.614746,-2.774390,2.134146,-1.219512,2
22:19:23.170,0.790039,-0.097900,0.609131,-1.128049,1.676829,-0.121951,2
22:19:23.206,0.783691,-0.099365,0.608643,-1.920732,1.554878,-0.152439,2
22:19:23.242,0.778076,-0.097168,0.607178,-1.097561,0.762195,0.213415,2
22:19:23.273,0.773193,-0.091553,0.608887,-1.128049,0.091463,-0.487805,2
22:19:23.306,0.766113,-0.085693,0.611328,0.823171,-0.426829,-0.762195,2
22:19:23.337,0.764160,-0.091064,0.618896,0.823171,-1.371951,-1.006098,2
22:19:23.371,0.763672,-0.076904,0.622314,0.518293,-1.463415,-1.615854,2
22:19:23.405,0.767578,-0.088135,0.621582,2.530488,-1.463415,-0.945122,2
22:19:23.448,0.771240,-0.079346,0.630371,-2.134146,-2.439024,-1.371951,2
22:19:23.455,0.770264,-0.089600,0.624268,2.347561,-2.621951,-1.036585,2
22:19:23.508,0.761719,-0.092041,0.628418,2.774390,-2.103659,-0.884146,2
22:19:23.540,0.758545,-0.072021,0.624268,-0.426829,-2.591464,-2.317073,2
22:19:23.548,0.757080,-0.091553,0.630127,3.567073,-3.140244,-2.408537,2
22:19:23.602,0.768555,-0.098633,0.621826,4.481708,-2.743902,-2.164634,2
22:19:23.612,0.769775,-0.088379,0.619385,3.292683,-3.445122,-2.195122,2
22:19:23.646,0.759766,-0.088623,0.610352,3.719512,-4.847561,-1.707317,2
22:19:23.700,0.759521,-0.070068,0.611816,1.310976,-3.536585,-2.804878,2
22:19:23.733,0.778564,-0.073975,0.613770,1.493902,-4.024390,-2.408537,2
22:19:23.765,0.774414,-0.077393,0.582031,13.079268,-4.329268,-5.914634,2
22:19:23.799,0.753418,-0.063721,0.569824,7.347561,-3.658537,-8.201220,2
22:19:23.811,0.824219,-0.010010,0.653076,-18.567074,0.426829,-7.073171,2
22:19:23.844,0.845947,-0.163574,0.691650,3.932927,3.231707,-3.231707,2
22:19:23.880,0.805420,-0.078369,0.632568,-3.414634,2.926829,-1.890244,2
22:19:23.914,0.824707,-0.070801,0.654297,-4.115854,4.298780,-0.030488,2
22:19:23.944,0.810547,-0.088867,0.633789,0.792683,6.280488,2.042683,2
