Time_stamp,Ax,Ay,Az,Gx,Gy,Gz,Label
16:27:20.936,-0.214844,0.022217,0.990479,2.439024,13.353659,-15.914635,
16:27:20.967,-0.224365,0.038574,0.992920,-8.536586,10.945122,-15.670732,
16:27:20.983,-0.193848,-0.076904,0.998779,-5.762195,11.250000,-18.140244,
16:27:20.992,-0.177246,-0.126709,0.996094,-4.085366,11.219513,-18.384148,
16:27:21.003,-0.176270,-0.110107,0.997803,-6.585366,9.847561,-17.804878,
16:27:21.009,-0.183838,-0.091553,0.956299,-11.158537,7.621952,-16.615854,
16:27:21.035,-0.187500,-0.118896,0.944580,-11.768293,6.310976,-15.823171,
16:27:21.045,-0.188721,-0.129395,0.956299,-10.426829,5.121951,-16.128050,
16:27:21.067,-0.181885,-0.140381,0.987793,-10.000000,5.914634,-16.219513,
16:27:21.073,-0.184326,-0.152100,0.998535,-10.335366,6.432927,-15.823171,
16:27:21.081,-0.194092,-0.156250,0.993896,-9.542684,8.018292,-14.512196,
16:27:21.114,-0.191895,-0.170654,0.993896,-7.804878,9.634147,-13.048780,
16:27:21.120,-0.194092,-0.174316,0.993652,-7.743903,10.060976,-12.469513,
16:27:21.149,-0.196533,-0.169189,0.978516,-7.469512,9.390244,-11.189025,
16:27:21.157,-0.203125,-0.174316,0.964111,-6.737805,8.902439,-10.335366,
16:27:21.187,-0.206787,-0.187744,0.966797,-5.731708,8.079268,-10.121951,
16:27:21.194,-0.205322,-0.186279,0.965820,-4.268293,7.195122,-10.091464,
16:27:21.221,-0.215088,-0.192871,0.960938,-2.713415,6.250000,-9.298780,
16:27:21.221,-0.215088,-0.192871,0.960938,-3.018293,5.945122,-9.481708,
16:27:21.235,-0.224609,-0.165771,0.962402,-5.640244,4.146341,-7.073171,
16:27:21.254,-0.227539,-0.198730,0.949219,-5.365854,3.170732,-5.640244,
16:27:21.254,-0.227539,-0.198730,0.949219,-4.359756,2.530488,-4.451220,
16:27:21.295,-0.236328,-0.233643,0.941895,-0.914634,-0.091463,-1.737805,
16:27:21.302,-0.230225,-0.237061,0.947510,2.317073,-1.615854,-0.365854,
16:27:21.302,-0.230225,-0.237061,0.947510,3.475610,-2.530488,0.914634,
